;website;salary_min;salary_max;salary_comment;vacancy_name;vacancy_url;employer_name;employer_url;location;salary_currency
163;hh.ru;;;;Technical Lead в Data Science-команду/ML Engineer;https://spb.hh.ru/vacancy/38175082?query=data%20scientist; «РОСБАНК, Societe Generale Group», с опытом работы;https://hh.ru/employer/599?dpt=rosbank-599-opyt;Москва;
164;hh.ru;;;;Big Data Project Manager;https://spb.hh.ru/vacancy/36308716?query=data%20scientist; mfms°;https://hh.ru/employer/543454;Москва, Автозаводская;
165;hh.ru;;;;Data Engineer;https://spb.hh.ru/vacancy/38324558?query=data%20scientist; Циан;https://hh.ru/employer/1429999;Москва, Преображенская площадь;
166;hh.ru;;;;DATA ENGINEER;https://spb.hh.ru/vacancy/38612259?query=data%20scientist; Сибур;https://hh.ru/employer/3809?dpt=sbr-3809-sibb;Москва;
167;hh.ru;;;;Data Science Team Lead (прогнозирование спроса);https://spb.hh.ru/vacancy/38575590?query=data%20scientist; Ozon Информационные технологии;https://hh.ru/employer/2180?dpt=ozonru-2180-dev;Москва;
168;hh.ru;;;;Старший менеджер продукта (направление Big Data - Telecom);https://spb.hh.ru/vacancy/39036040?query=data%20scientist; Билайн;https://hh.ru/employer/4934?dpt=bil-4934-beel;Москва;
169;hh.ru;;;;Руководитель группы Data инженеров (Chief Data Engineer);https://spb.hh.ru/vacancy/38763322?query=data%20scientist; Лента, федеральная розничная сеть, IT ;https://hh.ru/employer/7172?dpt=7172-7172-it;Москва;
170;hh.ru;;;;Программист Python (Senior);https://spb.hh.ru/vacancy/38576811?query=data%20scientist;ООО РАБЛЗ;https://hh.ru/employer/2223982;Москва;
171;hh.ru;;250000;;Программист Python (Middle);https://spb.hh.ru/vacancy/38566344?query=data%20scientist;ООО РАБЛЗ;https://hh.ru/employer/2223982;Москва;руб.
172;hh.ru;150000;250000;;Начальник отдела маркетинга;https://spb.hh.ru/vacancy/38686935?query=data%20scientist; Asgardia;https://hh.ru/employer/4835670;Москва;руб.
173;hh.ru;;;;Data-инженер в команду Data Lake;https://spb.hh.ru/vacancy/38959427?query=data%20scientist; Райффайзенбанк;https://hh.ru/employer/4023;Москва, Технопарк;
174;hh.ru;;350000;;Search Engineer;https://spb.hh.ru/vacancy/38364405?query=data%20scientist; Звук;https://hh.ru/employer/1829949;Москва, Комсомольская и еще 2 ;руб.
175;hh.ru;;;;Руководитель офиса по управлению и работе с данными;https://spb.hh.ru/vacancy/38983788?query=data%20scientist; Российский Футбольный Союз;https://hh.ru/employer/553340;Москва;
176;hh.ru;;;;Data Engineer в команду HR;https://spb.hh.ru/vacancy/38435608?query=data%20scientist; Райффайзенбанк;https://hh.ru/employer/4023;Москва, Технопарк;
177;hh.ru;;;;AI Research Engineer;https://spb.hh.ru/vacancy/38927991?query=data%20scientist; Coleman Services;https://hh.ru/employer/124;Москва;
178;hh.ru;;;;ИТ-тренер - преподаватель Data Analytics;https://spb.hh.ru/vacancy/38878229?query=data%20scientist; Университет Иннополис;https://hh.ru/employer/1160188;Москва;
179;hh.ru;;;;Scala developer;https://spb.hh.ru/vacancy/38700865?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва, Верхние Котлы и еще 1 ;
180;hh.ru;;;;DS Teamlead на голосовые сервисы;https://spb.hh.ru/vacancy/37247151?query=data%20scientist; Тинькофф;https://hh.ru/employer/78638;Москва, Водный стадион;
